Are you sure you want to do this?,Sind Sie sicher, dass Sie fortfahren möchten?
Delete Consent,Zustimmung löschen
I understand and I want to delete my account,Ich verstehe und möchte mein Konto löschen
Submit request,Antrag einreichen
Given Consent,Erteilte Zustimmung
Here you can opt in or opt out from consents that were previously given.,Hier können Sie Zustimmungen, die zuvor erteilt wurden, aktualizieren.
Send Email,E-Mail senden
Action Log,Aktionsprotokoll
Action logs was successfully removed.,Das Aktionsprotokoll wurde erfolgreich entfernt.
Consent Log,Zustimmungsprotokoll
Consent logs was successfully removed.,Das Zustimmungsprotokoll wurde erfolgreich entfernt.
Customers Consents Email Queue,E-Mail-Warteschlange der Kundenzustimmungen
%1 customer(s) has been successfully added to email queue,%1 Kunde(n) wurde erfolgreich zur E-Mail-Warteschlange hinzugefügt
You have successfully deleted the consent,Sie haben die Zustimmung erfolgreich gelöscht
We can't delete item right now. Please review the log and try again.,,Wir können das Element derzeit nicht löschen. Bitte überprüfen Sie das Protokoll und versuchen Sie es erneut.
Edit Consent,Zustimmung bearbeiten
This consent no longer exists...,Diese Zustimmung existiert nicht mehr
New Consent,Neue Zustimmung
Consent Checkboxes,Zustimmungskästchen
An error has occurred,Ein Fehler ist aufgetreten
You saved the consent.,Sie haben die Zustimmung gespeichert.
Consent with code %1 already exists.,Die Zustimmung mit Code %1 existiert bereits.
Cookie Policy Consents,Die Zustimmung der Cookie-Richtlinien
Personal data cannot be anonymised right now, because the customer has non-completed order(s): %1,Persönliche Daten können derzeit nicht anonymisiert werden, da der Kunde eine nicht ausgefüllte(n) Bestellung(en) hat: %1
Personal data cannot be anonymised right now, because the customer has active Gift Registry.,Persönliche Daten können derzeit nicht anonymisiert werden, da der Kunde ein aktives Geschenkregister hat.
An error has occurred: %1,Ein Fehler ist aufgetreten: %1
Personal data cannot be deleted right now, because the customer has non-completed order(s): %1,Persönliche Daten können derzeit nicht gelöscht werden, da der Kunde eine nicht ausgefüllte(n) Bestellung(en) hat: %1
Personal data cannot be deleted right now, because the customer has active Gift Registry.,Persönliche Daten können derzeit nicht gelöscht werden, da der Kunde ein aktives Geschenkregister hat.
This policy no longer exists.,Diese Richtlinien existieren nicht mehr.
You deleted the policy.,Sie haben die Richtlinien gelöscht.
New Privacy Policy,Die neue Datenschutzrichtlinie
Edit Privacy Policy %1,Datenschutzrichtlinie %1 bearbeiten
Privacy Policy,Datenschutzrichtlinie
Please correct the data sent.,Bitte korrigieren Sie die gesendeten Daten.
Something went wrong while saving the question.,Beim Speichern der Frage ist ein Fehler aufgetreten
%1 policies(s) has been successfully deleted,%1 Richtlinie(n) wurde erfolgreich gelöscht.
Privacy policy with the same version already exists.,Die Datenschutzrichtlinie mit der gleichen Version ist bereits vorhanden.
You saved the item.,Sie haben das Element gespeichert.
%1 customer(s) has been successfully deleted,%1 Kunde(n) wurde erfolgreich gelöscht.
%1 customer(s) has not been successfully deleted, because they have non-completed order(s),%1 Kunde(n) wurde nicht erfolgreich gelöscht, weil Sie nicht ausgefüllte Bestellung(en) haben.
Delete Requests,Löschanfragen
Deny Delete Requests,Löschanfragen verweigern
An error has occurred. Please check logs for more details,Ein Fehler ist aufgetreten. Weitere Informationen finden Sie im Protokoll.
%1 email(s) has been sent,%1 E-Mail(s) wurde gesendet
Invalid Form Key. Please refresh the page.,Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite.
Access denied.,Zugriff verweigert.
Wrong Password. Please recheck it.,Falsches Passwort. Bitte überprüfen Sie es erneut.
Your delete account request is awaiting for the review by the administrator.,Ihre Anfrage zur Löschung des Kontos wartet auf die Überprüfung von dem Administrator.
We can not process your account deletion request right now, because you have active Gift Registry.,Wir können Ihre Anfrage zur Löschung Ihres Kontos nicht bearbeiten, da Sie ein aktives Geschenkregister haben.
"Thank you, your account delete request was recorded.","Danke, Ihre Anfrage zur Löschung Ihres Kontos wurde übermittelt."
Something went wrong.,Etwas ist schief gelaufen.
We can not anonymize your account right now, because you have non-completed order(s):%1,Wir können Ihr Konto derzeit nicht anonymisieren, weil Sie nicht ausgefüllte Bestellung(en) haben:%1
We can not anonymize your account right now, because you have active Gift Registry,Wir können Ihr Konto derzeit nicht anonymisieren, weil Sie ein aktives Geschenkregister haben
We can not anonymize order,Wir können die Bestellung nicht anonymisieren
Anonymisation was successful,Die Anonymisierung wurde erfolgreich durchgeführt.
Thank you for your cooperation. Your consent was recorded.,Vielen Dank für Ihre Mitarbeit, Ihre Zustimmung wurde übermittelt.
Changes has been saved.,Änderungen wurden gespeichert.
Invalid Policy version.,Ungültige Richtlinienversion.
Invalid Policy action.,Ungültige Richtlinienaktion.
Privacy policy accepted.,Datenschutzrichtlinie werden akzeptiert.
Unable to save actionLog with ID %1. Error: %2,Das Aktionsprotokoll mit ID  %1 kann nicht gespeichert werden. Fehler: %2
Unable to save new actionLog. Error: %1,Das neue Aktionsprotokoll mit ID %1 kann nicht gespeichert werden. Fehler: %1
"ActionLog with specified ID "%1" not found.,Das Aktionsprotokoll mit angegebener ID %1 wurde nicht gefunden."
Unable to remove actionLog with ID %1. Error: %2,Das Aktionsprotokoll mit ID %1 kann nicht entfernt werden. Fehler: %2
Unable to remove actionLog. Error: %1,Das Aktionsprotokoll kann nicht entfernt werden. Fehler: %1
"The "%1" anonymization type isn't defined. Verify the type and try again.,Der "%1" Anonymisierungstyp ist nicht definiert. Überprüfen Sie den Typ und versuchen Sie es erneut."
Delete Request Submitted,Die Löschanfrage wurde gestellt
Delete Request Approved,Die Löschanfrage wurde genehmigt
Delete Request Denied,Die Löschanfrage verweigert
Data Anonymised by Customer,Die Daten wurden vom Kunden anonymisiert
Data Anonymised by Admin,Die Daten wurden vom Admin anonymisiert
Personal Data Deleted by Admin,Die persönliche Daten wurden vom Admin gelöscht
Personal Data Downloaded by Customer,Die persönliche Daten wurden vom Kunden heruntergeladen
Automatic Delete,Automatische Löschung
Customer's Request,Kundeanfrage
Pending,Ausstehend
Success,Erfolg
Fail,Störung
Allow,Genehmigen
Don't Allow for Statuses,Für Status nicht genehmigen
Don't Delete,Nicht löschen
Yes (Recommended),Ja (Empfohlen)
No,Nein
[STORE VIEW],[STORE VIEW]
"Consent with specified ID "%1" not found.,Die Zustimmung mit angegebener ID %1 wurde nicht gefunden."
Consent with consent code %1 not found,Die Zustimmung mit dem Zustimmungscode %1 wurde nicht gefunden.
Unable to remove model without id,Das Modell ohne ID kann nicht entfernt werden.
Unable to remove consent, message is %1,Die Zustimmung kann nicht entfernt werden, die Nachricht ist %1
Unable to save consent with ID %1. Error: %2,Die Zustimmung mit ID %1 kann nicht gespeichert werden. Fehler: %2
Unable to save new consent. Error: %1,Die neue Zustimmung kann nicht gespeichert werden. Fehler %1
"Data consistency is broken.
                    There is no entity by default store for a consent with ID %1,Die Datenkonsistenz ist gestört.
                     Es gibt keine Entität anhand Standardspeicher für eine Zustimmung mit ID %1"
Unable to save deleteRequest with ID %1. Error: %2,Die Löschanfrage mit ID %1 kann nicht gespeichert werden. Fehler: %2
Unable to save new deleteRequest. Error: %1,Die neue Löschanfrage kann nicht gespeichert werden. Fehler: %1
"DeleteRequest with specified ID "%1" not found.,Die Löschanfrage mit angegebener ID %1 wurde nicht gefunden."
Unable to remove deleteRequest with ID %1. Error: %2,Die Löschanfrage mit ID %1 kann nicht entfernt werden. Fehler: %2
Unable to remove deleteRequest. Error: %1,Die Löschanfrage kann nicht entfernt werden. Fehler: %1
Invalid guest customer session,Ungültige Gast Kunden Sitzung
Invalid order increment ID,Ungültige Inkrement ID der Bestellung
Registration,Anmeldung
Checkout,Kasse
Contact Us,Kontakt
Newsletter Subscription,Newsletter-Abonnement
Email,E-Mail
Optional Consent at Account Privacy Settings,Freigestellte Zustimming unter der Datenschutzeinstellungen
Draft,Entwurf
Disabled,Deaktiviert
Enabled,Aktiviert
Policy is active,Die Richtlinie ist aktiv
Unable to save policy with ID %1. Error: %2,Die Richtlinie mit der ID %1 kann nicht gespeichert werden. Fehler: %2
Unable to save new policy. Error: %1,Die neue Richtlinie kann nicht gespeichert werden. Fehler: %1
"Policy with specified ID "%1" not found.,Die Richtlinie mit angegebener ID %1 wurde nicht gefunden."
Unable to remove policy with ID %1. Error: %2,Die Richtlinie mit der ID %1 kann nicht entfernt werden. Fehler: %2
Unable to remove policy. Error: %1,Die Richtlinie kann nicht entfernt werden. Fehler: %1
Unable to save consentQueue with ID %1. Error: %2,Die Warteschlange der Zustimmungen mit ID %1 kann nicht gespeichert werden. Fehler: %2
Unable to save new consentQueue. Error: %1,Die neue Warteschlange der Zustimmungen kann nicht gespeichert werden. Fehler: %1
"ConsentQueue with specified ID "%1" not found.,Die Warteschlange der Zustimmungen mit angegebener ID %1 wurde nicht gefunden."
Unable to remove consentQueue with ID %1. Error: %2,Die Warteschlange der Zustimmungen mit ID %1 kann nicht entfernt werden. Fehler: %2
Unable to remove consentQueue. Error: %1,Die Warteschlange der Zustimmungen kann nicht entfernt werden. Fehler: %1
Unable to save withConsent with ID %1. Error: %2,withConsent mit ID 1% kann nicht gespeichert werden. Fehler: %2
Unable to save new withConsent. Error: %1,Die neue withConsent kann nicht gespeichert werden. Fehler: %1
"WithConsent with specified ID "%1" not found.,WithConsent mit angegebener ID "%1" ist nicht gefunden."
Unable to remove withConsent with ID %1. Error: %2,withConsent mit ID %1 kann nicht gelöscht werden. Fehler: %2
Unable to remove withConsent. Error: %1,withConsent kann nicht gelöscht werden . Fehler: %1
Guest,Gast
Checkbox Location Option Group has empty name,Die  Optionsgruppe von der Position des Kästchens hat einen leeren Namen
Option Source with code %1 not implements OptionSourceInterface,Der Source von der Option mit Code %1  implementiert OptionSourceInterface nicht
name,Name
Privacy Policy Popup,Datenschutzrichtlinie Popup
GDPR Privacy policy,DSGVO Datenschutzrichtlinie
CMS Page,CMS-Seite
All Countries,Alle Staaten
EEA Countries,EWR-Staaten
Specified Countries,Bestimmte Staaten
Accept,Akzeptieren
Decline,Ablehnen
Policy Confirmation Required,Richtlinie-Bestätigung ist erforderlich
Privacy Checkbox,Datenschutzkästchen
%1 file extension is not supported,%1 Datei-Erweiterung wird nicht unterstützt
"Kindly be informed that Active or Disabled Privacy Policy cannot be amended. Please use the CLONE function to create a new Privacy Policy version and amend the text.","Bitte beachten Sie, dass die aktivierte oder deaktivierte Datenschutzrichtlinie nicht geändert werden kann. Bitte verwenden Sie die KLONIEREN-Funktion, um eine neue Version der Datenschutzrichtlinie zu erstellen und den Text zu ändern."
Current Password,Current Password
Read Privacy Policy,Die Datenschutzrichtlinie lesen
Read Cookie Policy,Die Cookieschutzrichtlinie lesen
Close,Schließen
Dear %customer_name, Sehr geehrte(r) %customer_name
"In response to your recent request, your account was anonymized. Please, notice that all changes couldn't be reverted.","Auf Ihre Anfrage wurde Ihr Konto anonymisiert. Bitte beachten Sie, dass alle Änderungen nicht rückgängig gemacht werden konnten."
"To login please use the following anonymized e-mail address: %anonymous_email","Um sich anzumelden,verwenden Sie bitte die folgende anonymisierte E-Mail-Adresse: %anonymous_email"
Best regards,Mit freundlichen Grüßen
Your account has been deleted,Ihr Konto wurde gelöscht
"This email was sent to you because your account has been deleted due to your recent request. Please, notice that all changes couldn't be reverted.","Diese E-Mail wurde an Sie gesendet, weil Ihr Konto aufgrund Ihrer letzten Anfrage gelöscht wurde. Bitte beachten Sie, dass alle Änderungen nicht rückgängig gemacht werden konnten."
Our Privacy Policy has been amended,Unsere Datenschutzrichtlinie hat sich geändert
"We would like to inform you that our Privacy Policy has been amended. Due to the changes related to the EU GDPR (General Data Protection Regulation), we are required to notify you about this update and are required to get your consent to the updated policy.","Wir möchten Sie darüber informieren, dass unsere Datenschutzrichtlinie geändert wurde. Aufgrund der Änderungen im Bezug auf die EU-DSGVO (Datenschutz-Grundverordnung) sind wir verpflichtet, Sie über diese Änderung zu informieren und sind verpflichtet, Ihre Zustimmung zu den aktualisierten Richtlinien zu erhalten."
"There are no major differences, we still take care of all your personal data, we store it securely and use it only for processing your orders and support requests.","Grundsätzlich ergeben sich hier keine große Unterschiede, wir schutzen Ihre persönliche Daten, speichern sie und nutzen sie um nur die Bestellungen und Supportanfragen zu bearbeiten."
I have read and accept,Ich habe gelesen und akzeptiere
Hello,Hallo
New personal data deletion request,Neue Anfrage zur Löschung persönlicher Daten
"You have received a new personal data deletion request from the customer - %customer_name","Sie haben eine neue Anfrage zur Löschung persönlicher Daten vom Kunden - %customer_name - erhalten"
"Please, visit the request deletion grid.","Bitte besuchen Sie das Löschantfrage-Gitter."
"Hello %customer_name","Hallo %customer_name"
Your delete request was denied,Ihre Löschanfrage wurde abgelehnt
"Your delete request was denied at this time due to the following reason: %comment","Ihre Löschanfrage wurde zu diesem Zeitpunkt aus folgendem Grund abgelehnt: %comment"
Personal Data Protection,Schutz von persönlichen Daten
General,Allgemein
On the Frontend., Auf dem Frontend
Display Privacy Policy Popup on First Visit,Das Datenschutzrichtlinie-Popup beim ersten Besuch anzeigen
"When a new customer opens the website, the privacy policy popup will be displayed. When a new version of
                        Privacy Policy is issued, the popup will be displayed to those users who have not accepted the policy yet.","Wenn ein neuer Kunde die Website öffnet, wird das Popup der Datenschutzrichtlinie angezeigt. Wenn eine neue Version der Datenschutzrichtlinie erlasst wird, wird das Popup denjenigen Benutzern angezeigt, die die Richtlinie noch nicht akzeptiert haben."
Log Guest Consent,Gast-Zustimmung protokollieren
"If enabled, guest users who give the consent will be logged and displayed in Consent Log.","Wenn aktiviert, werden Gäste, die die Zustimmung erteilen, im Zustimmungsprotokoll protokolliert und angezeigt."
"If enabled, a customer will have to give the consent to submit an action.","Wenn aktiviert, muss ein Kunde die Zustimmung geben, um eine Aktion einzureichen."
"If enabled, customer’s consent will be saved in the ‘Consent Log’ grid.","Wenn aktiviert, wird die Zustimmung des Kunden im 'Zustimmungsprotokoll' gespeichert."
Log Auto-Cleaning,Automatische Bereinigung vom Protokoll
"The records that were saved for a longer period than the specified below will be automatically removed from Consent and Action Logs.","Die Datensätze, die für einen längeren Zeitraum als die unten angegebenen gespeichert wurden, werden automatisch aus den Zustimmungs- und Aktionsprotokollen entfernt."
Log Auto-Cleaning Period (Days),Protokoll Auto-Reinigung Zeitraum (Tage)
The records that were saved for a longer period than you specified in the field will be automatically removed from Consent and Action Logs.,Die Datensätze, die über einen längeren Zeitraum gespeichert wurden, als Sie im Feld angegeben haben, werden automatisch aus den Zustimmungs- und Aktionsprotokollen entfernt.
Customer’s Account Privacy Settings,Datenschutzeinstellungen von dem Konto des Kunden
Privacy Settings Tab Name,Name des Datenschutzeinstellungen-Tabs
"The setting allows you to set a custom name for the privacy settings navigation link in the customer’s account.","Die Einstellung ermöglicht es Ihnen, einen benutzerdefinierten Namen für die Datenschutzeinstellungen-Navigationslink im Konto des Kunden."
Enable Policies Text Section,Der Richtlinien-Textabschnitt aktivieren
Allow Downloading Personal Data,Herunterladen von Persönliche Daten zulassen
"If enabled, customers will be able to download their personal data.","Wenn aktiviert, können Kunden ihre persönlichen Daten herunterladen."
Allow Anonymizing Personal Data,Anonymisierung von Persönliche Daten zulassen
"If enabled, customers will be able to anonymize their personal data.","Wenn aktiviert, können Kunden ihre persönlichen Daten anonymisieren."
Allow Deleting Account,Löshen vom Konto zulassen
"If enabled, customers will be able to delete their accounts.","Wenn aktiviert, können Kunden ihre Konten löschen."
Allow Opting Out from Given Consent,Die gegebene Zustimmung ablehnen
"If enabled, the section Given Consent will be added to customer account for customers to be able to opt
                        in or opt out from given consent. The checkboxes with the enabled option ‘Hide the Checkbox after User Gave the Consent’
                        will be displayed under the Given Consent section. When the option 'Hide the Checkbox after User Gave the Consent’
                        is disabled for checkboxes, they will not be added to the Given Consent section since the system will always display
                        these checkboxes on selected forms even if the consent was given.","Wenn aktiviert, wird der Abschnitt 'Erteilte Zustimmung' zum Kundenkonto hinzugefügt, damit Kunden sich von der erteilten Zustimmung abmelden oder ablehnen können. Die Kästchen mit der aktivierten Option ‘Nach Abgabe der Zustimmung Kästchen ausblenden‘ werden im Bereich Zustimmung angezeigt. Wenn die Option 'Kästchen ausblenden, nachdem der Benutzer die Zustimmung erteilt hat' für Kästchen deaktiviert ist, werden sie nicht zum Abschnitt Zustimmung hinzugefügt, da das System diese Kästchen immer auf ausgewählten Formularen anzeigt, selbst wenn die Zustimmung erteilt wurde."
Download Fields with Filled Values Only,Nur ausgefüllte Felder herunterladen
"If enabled, the fields with empty values will be skipped in downloaded files.","Wenn aktiviert, werden die Felder mit leeren Werten in heruntergeladenen Dateien übersprungen."
Display Data Protection Officer Information,Informationen über den Datenschutzbeauftragten anzeigen
"If enabled, customers will be able to get information about your Data Protection Officer added to a separate section
                        at their accounts.","Wenn aktiviert, können Kunden Informationen über Ihren Datenschutzbeauftragten in einem separaten Abschnitt auf ihren Konten einsehen."
Section Name,Abschnittsname
Data Protection Officer Email,Datenschutzbeauftragten E-Mail
You can set only one email address in this field.,Sie können nur eine E-Mail-Adresse in diesem Feld festlegen.
Email address of the Data Protection Officer or department within your company.,E-Mail-Adresse des Datenschutzbeauftragten oder der Abteilung Ihres Unternehmens.
Data Protection Officer information,Informationen über den Datenschutzbeauftragten
Personal Data Deletion and Anonymization,Löschung und Anonymisierung von persönlichen Daten
Automatic Personal Data Deletion,Automatische Löschung von persönlichen Daten
Delete Personal Data of Abandoned Customer’s Accounts,Persönliche Daten von verlassenen Kundenkonten löschen
"The extension will scan customers and their orders.
                            If a customer’s last order was made earlier than the specified number of days the extension will create a deletion request.
                            You will be able to find it on the ‘Delete Requests’ grid.
                        ","Die Erweiterung scannt Kunden und ihre Bestellungen. Wenn die letzte Bestellung eines Kunden früher als die angegebene Anzahl von Tagen getätigt wurde, wird die Erweiterung eine Löschanforderung erstellen. Sie können es im Löschantfrage-Gitter finden."
"The extension will scan customers and their orders.
                            If a customer’s last order was made earlier than the specified number of days the extension will create a deletion request.
                            You will be able to find it on the ‘Delete Requests’ grid
                        ","Die Erweiterung scannt Kunden und ihre Bestellungen.Wenn die letzte Bestellung eines Kunden früher als die angegebene Anzahl von Tagen getätigt wurde, wird die Erweiterung eine Löschanforderung erstellen. Sie können es im Löschantfrage-Gitter finden."
"The feature helps to set the order of several checkboxes in case they are displayed in one place.
                            0 is the highest priority.","Die Funktion hilft, die Reihenfolge mehrerer Kästchen festzulegen, falls sie an einer Stelle angezeigt werden.
                            0 ist die höchste Priorität."
Abandoned Customer’s Accounts Automatic Deletion Period (Days),Automatischer Löschzeitraum von verlassenen Kundenkonten (Tage)
Prevent Data Deletion of Recent Orders,Löschung von Daten bei neuerlich Bestellungen verhindern
Deletion of Personal Data in Recent Documents,Löschung von persönlichen Daten in aktuellen Dokumenten
"When a customer asks to delete personal data and the request is approved, the extension deletes their account, subscriptions, and the data in orders, invoices, shipments, and credit memos.
                            Given disabled, it could cause problem for a store owner as these should be stored for a specific period of time.<br><br>

                            The feature keeps personal data untouched in orders, invoices, shipments and credit memos for the set period after deleting customer’s account. When the period expires the personal data in the documents will be automatically deleted.","Wenn ein Kunde persönlichen Daten löschen möchte und die Anfrage genehmigt wird, löscht die Verlängerung sein Konto, seine Abonnements und die Daten in Bestellungen, Rechnungen, Sendungen und Gutschriften. Bei Deaktivierung kann es zu Problemen für einen Ladenbesitzer kommen, da diese für einen bestimmten Zeitraum gespeichert werden sollten.br>br>. Die Funktion hält persönliche Daten in Bestellungen, Rechnungen, Sendungen und Gutschriften für den festgelegten Zeitraum nach dem Löschen des Kundenkontos unberührt. Nach Ablauf der Frist werden die persönlichen Daten in den Dokumenten automatisch gelöscht."
Prevent Data Deletion Period (Days),Verhindern Sie die Datenlöschungsfrist (Tage)
"After a customer deletes the account, personal data will stay untouched in orders, invoices, shipments and credit memos for the set period.
                            When the set time expires the personal data will be automatically deleted.","Nachdem ein Kunde das Konto gelöscht hat, bleiben persönliche Daten in Bestellungen, Rechnungen, Sendungen und Gutschriften für den eingestellten Zeitraum unangetastet.
                            Nach Ablauf der gesetzten Frist werden die persönlichen Daten automatisch gelöscht."
Anonymization/Deletion of Personal Data for Orders in Specified Status(es),Anonymisierung/Löschung persönlicher Daten für Bestellungen im angegebenen Status(en)
"If enabled a customer won’t be allowed anonymizing and deleting their personal data if the order is now in one of the specified statuses.
                            A store admin won't be able to approve a request for personal data deletion as well.
                        ","Wenn aktiviert, ist es einem Kunden nicht erlaubt, seine persönlichen Daten zu anonymisieren und zu löschen, wenn sich die Bestellung jetzt in einem der angegebenen Status befindet. Ein Shop-Admin wird nicht in der Lage sein, einen Antrag auf Löschung persönlicher Daten zu genehmigen."
"Customers are able to anonymize their personal data. After anonymizing, they will get an email with the new credentials for login their account.","Kunden können ihre persönlichen Daten anonymisieren. Nach der Anonymisierung erhalten sie eine E-Mail mit den neuen Anmeldeinformationen zur Anmeldung ihres Kontos."
"Your Magento store admin user will get an email when a customer submits a new request for deleting their account.","Ihr Magento-Store-Admin-Benutzer erhält eine E-Mail, wenn ein Kunde einen neuen Antrag zur Löschung seines Kontos stellt."
Order Statuses,Bestellstatuses
Forbid Customer's Personal Data Anonymization and Deletion if They Have Gift Registries,Anonymisierung und Löschung von persönlichen Daten des Kunden verbieten, wenn Sie über Geschenkregister verfügen
Email Notifications,E-Mail-Benachrichtigungen
Anonymization Notifications,Anonymisierungsbenachrichtigungen
Email Sender,E-Mail-Absender
Email Reply To, Email-Antwort an
Specify the email address for customer's replies or leave blank to use the sender address.,Geben Sie die E-Mail-Adresse für die Antworten des Kunden an oder lassen Sie sie leer, um die Absenderadresse zu verwenden.
Email Template,E-Mail-Vorlage
Deletion Notifications, Löschungsbenachrichtigungen
Manager Notification,Benachrichtigung des Managers
Notify Manager on Deletion Request,Manager auf Löschanfrage benachrichtigen
Send Email To,E-Mail senden an
"This will be used in the "To" field. Several emails should be written on a separate line.,Dies wird im Feld "An" verwendet. Mehrere E-Mails sollten in einer separaten Zeile geschrieben werden."
Customer’s Approval Notification,Benachrichtigung über die Genehmigung des Kunden
Customer’s Deny Notification,Benachrichtigung über die Verweigerung des Kunden
Privacy Policy Changes Notifications,Benachrichtigungen über die Änderungen der Datenschutzrichtlinie
"After changing the Privacy Policy your customers will get an email with a new version of the Privacy Policy.","Nach der Änderung der Datenschutzrichtlinie erhalten Ihre Kunden eine E-Mail mit einer neuen Version der Datenschutzrichtlinie."
Default Magento Forms,Standardformulare von Magento
Amasty Extension Forms,Formulare von Amasty
Are you sure?,Sind Sie sicher?
Customer ID,Kundennummer
Customer Name,Kundenname
IP Address,IP-Adresse
Date,Datum
Action,Aktion
Comment,Kommentar
Checkbox Location,Position des Kästchens
Remote IP Address,Remote-IP-Adresse
Checkbox Code,Kästchencode
Policy Version,Richtlinienversion
Website,Website
Resend,Erneut senden
Customer Email,Kunden-E-Mail-Adresse
Status,Status
Edit Checkbox,Kästchen bearbeiten
Back,Zurück
Save Checkbox,Kästchen speichern
Checkbox Name,Name des Kästchens
Confirmation Required,Bestätigung erforderlich
Hide the Checkbox after User Gave the Consent,Das Kontrollkästchen ausblenden, nachdem der Benutzer die Zustimmung erteilt hat
"If enabled, the system will always log consents to the checkbox. Moreover, the checkbox will be also added to customer account under the section 'Given Consent' to opt in or opt out from consent.","Wenn aktiviert, protokolliert das System immer die Zustimmung zum Kästchen. Darüber hinaus wird das Kästchen auch dem Kundenkonto unter dem Punkt 'Erteilte Zustimmung' hinzugefügt, um sich zu entscheiden oder die Zustimmung abzulehnen."
Log the Consent,Zustimmung protokollieren
Checkbox Position,Position des Kästchens
"You can use the <a> tag in the text and also the {link} variable to insert the privacy policy link into the checkbox text. Example: I have read and accept the <a href=""{link}"">privacy policy</a>","Sie können das <a>-Tag im Text und auch die Variable {link} verwenden, um den Link zur Datenschutzrichtlinie in den Kästchen-Text einzufügen. Beispiel: Ich habe die <a href=""{link}"">Datenschutzrichtlinie</a>"
Consent Link Type,Typ der Zustimmungslink
Countries Restrictment,Staaten Beschränkung
Display for Specific Countries,Für bestimmte Länder anzeigen
New Checkbox,Das neue Kästchen
Delete checkboxes,Kästchen löschen
Are you sure you want to delete selected checkboxes?,Sind Sie sicher, dass Sie die ausgewählten Kästchen löschen möchten?
ID,ID
Name,Name
Enable,Aktivieren
Is Required,Ist erforderlich
Log The Consent,Die Zustimmung protokollieren
Edit,Bearbeiten
Version,Version
Policy,Richtlinie
Add New Policy,Eine neue Richtlinie setzen
Delete policies,Richtlinien löschen
Are you sure you want to delete selected policies?,Sind Sie sicher, dass Sie die ausgewählten Richtlinien löschen möchten?
Id,Id
Date Created,Erstellungsdatum
Version Number,Versionsnummer
Last Edited,Zuletzt bearbeitet
Last Edited By,Zuletzt bearbeitet von
Approve Delete Request(s),Die Löschanfrage(n) genehmigen
Are you sure you want to approve selected requests?,Sind Sie sicher, dass Sie die ausgewählte Anfrage genehmigen möchten?
Deny Delete Request(s),Die Löschanfrage(n) verweigern
Date Submitted,Sendedatum
Initiator of Deletion,Initiator für Löschung
Completed Orders Qty,Menge der ausgefüllten Bestellungen
Pending Orders Qty,Anzahl der ausstehenden Aufträge
Actions,Aktionen
Current Password,Aktuelles Passwort
Our Privacy Policy has been amended,Unsere Datenschutzrichtlinie wurde geändert
